epoch,f1_score
1,0.3261813654838847
2,0.30884393547590266
3,0.3412935921485548
4,0.3608329143513122
5,0.4678424372655006
6,0.31397605693814373
7,0.47511118765326515
8,0.4951710134587451
9,0.4360225438337635
10,0.5056190868695234
11,0.5746704650408961
12,0.5164086649378851
13,0.5067247086551236
14,0.5385594341285217
15,0.5050811697587878
16,0.5267241140965278
17,0.5717862934402377
18,0.5426911817293991
19,0.5285812776309677
20,0.5361935908001256
21,0.4396630144175471
22,0.49975450527944626
23,0.5622941379020859
24,0.5825593500351606
25,0.5826013153146724
26,0.5741698622340609
27,0.5582589111872277
28,0.5588919255697665
29,0.5621326455047739
30,0.5931182614874955
31,0.5678164924675473
32,0.5409634758504851
33,0.5232780500437226
34,0.5439013928373366
35,0.5789519233999525
36,0.5644135668360658
37,0.5350685933426257
38,0.5695822926405242
